"country","endangered species","animal","dish","tree","capital","official language","national day","national day info","anthem"
"United States","Red Wolf","Bald Eagle","Hamburger","Oak","Washington, D.C.","no official language","July 4","Independence Day: Independence from Great Britain in 1776","The Star-Spangled Banner"
"Canada","Boreal Woodland Caribou","North American Beaver","Poutine","Maple","Ottawa","['English', 'French']","July 1","Celebration of Canadas confederation in 1867","O Canada"
"Mexico","Vaquita","Golden Eagle","Mole","Montezuma Bald Cypress","Mexico City","no official language","September 17","Independence Day: Commemoration of ""El Grito de Dolores"" (The Cry of Dolores) that marked the beginning of the fight for independence from Spain in 1810","Himno Nacional Mexicano"
"Brazil","Hyacinth Macaw","Rufous-Bellied Thrush","Feijoada","Pau Brazil","Braslia","Portuguese","September 7","Independence Day: Declaration of Independence from Portugal in 1822","Hino Nacional Brasileiro"
"Colombia","Spectacled Bear","Andean Condor","Bandeja Paisa","Quindio Wax Palm","Bogota","Spanish","July 20","Independence Day: Declaration of Independence from Spain in 1810","Himno Nacional de la Repblica de Colombia"
"Argentina","Andean Mountain Cat","Furnarius rufus","Asado","Cockspur Coral Tree","Buenos Aires","no official language","July 9","Independence Day: Declaration of Independence from Spain in 1816","Himno Nacional Argentino"
"Peru","Yellow-tailed Woolly Monkey","Vicua","Ceviche","Cinchona officinalis","Lima","Spanish","July 28","Independence Day: Declaration of independence from Spain in 1821","Himno Nacional del Peru"
"Venezuela","Orinoco Crocodile","Venezuelan Troupial","Pabellon Criollo","Araguaney","Caracas","Spanish","July 5","Declaration of independence from Spain in 1811","Gloria al Bravo Pueblo"
"Chile","Humboldt Penguin","Huemul","Pastel de Choclo","Araucaria","Santiago","Spanish","September 18","Independence Day: Commemoration of the creation of the first Government Junta in 1810, marking the start of independence from Spain.","Himno Nacional de Chile"
"Ecuador","Galápagos Giant Tortoise","Andean Condor","Encebollado","Cinchona pubescens","Quito","Spanish","August 10","Independence Day: ""Día del Primer Grito de Independencia de Quito"" (First Cry for Freedom) Declaration of independence from Spain in 1809","Salve, Oh Patria"
"Uruguay","Pampas Deer","Southern Lapwing","Chivito","Ceibo","Montevideo","Spanish","August 25","Indepedence Day: ""Día de la Independencia"" Declaration of Independence from Brazil in 1825","Orientales, la Patria o la Tumba"
"Paraguay","Taguá (Chacoan Peccary)","Pampas Fox","Sopa Paraguaya","Lapacho (Pink Trumpet Tree)","Asunción","['Spanish','Guaraní']","May 14 to May 15","Indepedence Day: Declaration of independence from Spain, with a revolution that begun on May 14 and ended on May 15, 1811.","Paraguayos, República o Muerte"
"Bolivia","Andean Flamingo","Llama","salteña","Palo Borracho (Silk Floss Tree)","['Sucre','La Paz']","There are 37 offical languages in Bolivia, but the main one is Spanish","August 6","Independence Day: ""Día de la Patria"" (Day of the Fatherland) Declaration of independence from Spain in 1825","Bolivianos, el Hado Propicio"